,comment,vid,postdate,vrate,likeCount
0,الشعب كلو بيسمع مهرجانات محسسني ان اول مرة تسمعه كلمة خمور وحشيش معظم الشعب بيشرب ده جورج النجم الكبير نفسه بيشرب وعنده مصنع خمرة وغيره وغيره ده غير الافلام من زمان لغاية دلوقتي معظمها ده لو مكنش كلها فيها كلام ومشاهد اوسخ من كده مليون مرة والمهرجانات دي فعلا بتتكلم علي حالة الشعب الشعب الي بجد مش الي انتو بتجبوهم والشعب بيشتم ويشرب ويعمل اكتر من كده فبلاش تتكلمو ودخلو البلد في الكلام ده عشان تتضحكو ع الناس باسم البلد الشعب فاهم وعارف هو بيسمع اي وبيعمل اي وف الاخر كلمتو الي هتمشي والمهرجان هيفضل,mg_nFaZsKZM,2020-02-19T02:32:56.000Z,none,0
1,هو المسح الجماعى ده فين وبيتعملى فين وامتى احنا مشوفناش حاجة زى دى وسمعنا عنها اﻻ دلوقتى,EN9j_Ssnu_o,2020-02-19T02:29:40.000Z,none,0
2,بطلو تعريص بقا,mg_nFaZsKZM,2020-02-19T02:24:44.000Z,none,0
3,"https://youtu.be/9uAtO7zfSPw
محمد منير",wrLAR4YYQ7s,2020-02-19T02:15:18.000Z,none,0
4,"احم احم بانسبة لمحمد رمضان 

مش اسفاف برضو",eeWW-g_LHo4,2020-02-19T02:13:47.000Z,none,0
5,حناطه,Wk5RRDF4jj4,2020-02-19T02:10:10.000Z,none,0
6,سيبك من التفه دول ي كبير,t-ApoTsciog,2020-02-19T02:06:45.000Z,none,0
7,صوتك مزعج جدا جدا 😤,eeWW-g_LHo4,2020-02-19T01:55:23.000Z,none,0
8,يااااااااه زمان عن المسلسلات اللي بحكو فيها لغة عربية فصحى 😍 أشتقنالها والله,FWazuW3RSmw,2020-02-19T01:50:59.000Z,none,0
9,الضمير بداااايفوق عند عمرو اديب اوه جدع بس قرينه مودي حته تانيه\بيقوله انامعاك واسمعك في البدايه ومطعاطف \معناة كده اانه متعاطف مع الشعب مش مع السيسي فكك بقامن الجماعه الدول اللي زي السيسي واعوانه \\\اللي معايه لايك,eeWW-g_LHo4,2020-02-19T01:35:37.000Z,none,1
10,لما اغنيه حسن شاكوش تجيب 100 مليون مشاهده طب ما تيجي نصلي على النبي نشوف هتجيب كم صلاه,vlMplBZAxRI,2020-02-19T01:20:28.000Z,none,0
11,"والله انا حاسس ان دي تمثيلية عملها هاني شاكر علشان هو بعيد عن الأضواء وعاوز يرجع تاني للأضواء على حساب عمر كمال وشاكوش
الله يخربيتك ياهاني شاكر الجزار",eeWW-g_LHo4,2020-02-19T01:19:42.000Z,none,0
12,أنا عجبني كي قالو محمد صلاح هيلعب لوحدو ههههه كارثة رضا عبد العال,2IseSjtZeSk,2020-02-19T01:13:32.000Z,none,0
13,انا عايزة مهرجانات ومش عايزة محمد رمضان,eeWW-g_LHo4,2020-02-19T01:13:22.000Z,none,0
14,غراب وبومه ابن بومه قبر ياخدك ونرتاح من خلقتك العكرة ياصهيونى,gI0YS2EIrxc,2020-02-19T01:02:18.000Z,none,0
15,عندي احساس ان تركي ال الشيخ بيجيبهم لسعوديه,eeWW-g_LHo4,2020-02-19T00:59:48.000Z,none,0
16,امنعوا التحرش والتكاتك الاول,eeWW-g_LHo4,2020-02-19T00:56:36.000Z,none,0
17,أن من ألجزائر أتوقع نهأي ألأهلي مع مازمبي,FDezlTv40mY,2020-02-19T00:55:32.000Z,none,0
18,المحترم اوووي,t-ApoTsciog,2020-02-19T00:49:22.000Z,none,0
19,فن هابط.... سوبر هابط ..,vOh7FtzLj-M,2020-02-19T00:46:42.000Z,none,0
20,للأسف هي دي مصر,vOh7FtzLj-M,2020-02-19T00:44:44.000Z,none,0
21,حسبي الله ونعم الوكيل فيك يا كلب,byuZLr7MDN8,2020-02-19T00:43:36.000Z,none,0
22,هههههههه ي راجل 😒يعنى كلمة خمور وحشيش هيا اللى هتبوظ الذوق العام 😂😂😂😳🙊 ماهوا كدا كدا بايظ اصلا انت هتمثل ي عم هانى شاكر انت دا باين عليه تعبان 😂بطلوا حقد بقاااااا😏كمل ي شاكوش انت وعمر كمال كلنا بنحبكم وكلنا معاكم 👏😍,eeWW-g_LHo4,2020-02-19T00:39:37.000Z,none,1
23,رانيا ماتت ولا بيحلمو,od2pw7ix-aE,2020-02-19T00:35:50.000Z,none,0
24,انتم محترميييين ربنا يكرمكم,eeWW-g_LHo4,2020-02-19T00:35:44.000Z,none,0
25,حسن شاكوش انسان محترام جدا ربنا معاك يا حسن يا شاكوش وان شاءالله ربنا مش هسيبك علشان انت انسان جدا محترام,eeWW-g_LHo4,2020-02-19T00:26:47.000Z,none,1
26,وطى صوتك ياعمرو أديب مزعج اوى بجد وبتقاطع كتير الضيوف وصوتك مستفز اوووى,eeWW-g_LHo4,2020-02-19T00:20:56.000Z,none,0
27,مين معايا إن المكالمة مسرحية هندي وعمر الملقن بس صوته فضيحة 🤭😂,eeWW-g_LHo4,2020-02-19T00:12:36.000Z,none,0
28,الزعيم الكبير اوي عادل امام ربنا مايحرمنا منه ابدا,NAfznVrPFsQ,2020-02-19T00:11:24.000Z,none,0
29,معلش بس هو فى المقطع جايب عمر علشان يكلم حسن بس 😒,eeWW-g_LHo4,2020-02-19T00:06:39.000Z,none,0
30,انا زملكاوي وبقول ان شيكابالا ده بلطجي وقليل الادب,o5olr26i_xo,2020-02-18T23:59:18.000Z,none,0
